TEXT,POSITIVE,NEGATIVE,NEUTRAL
kocak anjir coba selama world cup ban kapten nya pake bendera palestina pasti pada gamauuuuuu bilangnya political lah apa lah tai pedut lah,0.0023844284005463123,0.9962981343269348,0.0013174810446798801
protes kenapa deh nih denmark isu buruh atau lgbt yang dilarang qatar kalo isu buruh okelah tapi kalo isu lgbt ya hormati aja host pildun,0.0006736553041264415,0.9977994561195374,0.00152690673712641
si paling care,0.9963732361793518,0.00213597877882421,0.0014907510485500097
lazim terjadi ada isu isu yg tak enak untuk tuan rumah seperti wordcup brazil dulu,0.0015097460709512234,0.9780800342559814,0.020410234108567238
politik terus eropa si paling bener di dunia,0.34171000123023987,0.6256177425384521,0.03267228603363037
kirain protes zionisme israel,0.0004870485281571746,0.9991276860237122,0.0003852621011901647
italia lebih totalitas bukan cuma logo negara dan apparel yang tidak terlihat seluruh tim gak ada yang terlihat di qatar nanti,0.413573294878006,0.03336838632822037,0.5530583262443542
oalah denmark ngomong human rights human rights kamu lho gak ramah sama migran,0.00018844392616301775,0.9994725584983826,0.0003390302590560168
gw bingung juga sih menyuarakan kampanye tapi masih ikut serta dalam eventnya kalau bener gitu yaudah cabut aja dr pildun liat reaksi negara lain yg protes juga bakal lanjut apa cabut juga tuh,0.00029436315526254475,0.9989839196205139,0.0007217382080852985
ya gpp min,0.0010955081088468432,0.0004426930390764028,0.9984618425369263
protes gimmick yg gak bakal punya pengaruh apa kalo mau ya sekalian boikot pildunnya,0.00042195842252112925,0.9961340427398682,0.0034439621958881617
ketika negara dari benua standar ganda protes huhehehe,0.0004947770503349602,0.9942736029624939,0.005231619346886873
human right tai kucing lah,0.04104124754667282,0.8993242383003235,0.0596344955265522
pretty cool,0.9941546320915222,0.004671326372772455,0.001174057018943131
bullshit kl yg jadi host negara dunia ketiga aja pada bacot ampe urusan apparel ikut segala coba kl eropa sm sm kulit putih dan mata biru pasti diem kyk patung hipokrit emg,0.000409189349738881,0.9991809725761414,0.00040986810927279294
eropa sinpaling human rigth padahal negara diskriminatif dan anti ham,0.0002111446956405416,0.999163031578064,0.0006258126231841743
malah keren abiiizzzzz,0.9944879412651062,0.004201551899313927,0.0013104942627251148
hilih,0.6278343796730042,0.24393074214458466,0.1282348334789276
najis bet orang bule,0.021733589470386505,0.5249132513999939,0.4533531665802002
tidak mungkin rasanya menolak uang uang minyak dari arab uangnya wangi dan licin coy,0.988580048084259,0.009707664139568806,0.0017123642610386014
eee bacot banget si ajjj,0.009234803728759289,0.9898064732551575,0.000958676915615797
no komen,0.9016959071159363,0.09469762444496155,0.003606386249884963
semua demi marketing gimmick koq,0.0006780692492611706,0.9979618787765503,0.0013600389938801527
kita bicara human right kalau israel diperlakukan kaya rusia,0.0015033794334158301,0.9886044263839722,0.009892174042761326
kalau protes dengan qatar kenapa masih mau ikut pildun nanti,0.0002860001986846328,0.9971252083778381,0.002588740549981594
class act,0.0024613498244434595,0.996561586856842,0.0009770100004971027
ini pasti mengenai issue fans lgbt yg gak diterima sama qatar,0.00187027791980654,0.7269515991210938,0.27117809653282166
sipaling human rights,0.005990420933812857,0.9901224970817566,0.0038871089927852154
nyari alesan karena emng ga suka ama qatar yg kontra amerika wkwkw,0.000212635233765468,0.999148964881897,0.0006384325097315013
justru jadi makin gagah gini elegan,0.99094158411026,0.007723192218691111,0.0013351670932024717
bajunya bagus tapi kalau negara eropa merasa lebih superior secara moral sekalian aja gak usah beli m jyak dari timur tengah kan jadinya optimal tuh superioritas moralnya kalau masih beli minyak dari timur tengah masih juga jualan produk kesitu ya munafik namanya,0.0006397861870937049,0.9990108013153076,0.0003493465483188629
mundur aj denmark g ush ikut klo protes kualifikasi mainnya ngotot bgt cthlah itali,0.0006612446159124374,0.9952729344367981,0.004065866582095623
benua biru emang banyak bacot,0.00030347329447977245,0.9986132383346558,0.001083302777260542
mending mengundurkan diri sekalian,0.0010303378803655505,0.0096702566370368,0.9892994165420532
begitu doang harusnya total kaya italia protes dengan sengaja ga masuk piala dunia,0.0002794601896312088,0.9989104270935059,0.0008101253770291805
ya paling nanti dikira mu main di world cup,0.010154929012060165,0.018307499587535858,0.9715375900268555
boikot dong,0.9341145157814026,0.06019642576575279,0.005689058918505907
dari banyak isu besar lain kenapa cuman isu ini aja hummel bertindak begini yg lain diem aja,0.0001896056637633592,0.999386191368103,0.00042419321835041046
hakikatnya cuma trik marketing biasa yg dibungkus isu human right omong kosong,0.00033852338674478233,0.9991610050201416,0.0005004364065825939
hipokrit basi,0.0008515529916621745,0.99854975938797,0.0005986905307509005
tonton youtube detective aldo deh dia ngebahas sisi gelap persiapan piala dunia qatar,0.0028595831245183945,0.04708058387041092,0.9500597715377808
indonesia sudah duluan kmrn jersey hitam belasungkawa atas para pekerja di qatar,0.0010491263819858432,0.0004688250774051994,0.9984820485115051
keren asli jadi pengen pake,0.012647137977182865,0.8177213668823242,0.1696314662694931
dah biasa di serang kalo negara ber agama kuat,0.0006863987655378878,0.9984524250030518,0.0008611051016487181
contoh indonesia donk boikot total ngga ikut pildun,0.00018003540753852576,0.9989509582519531,0.0008689458481967449
fix beli,0.6778616905212402,0.2746528387069702,0.04748550429940224
pengen beli jersey nya,0.004495806060731411,0.0041921488009393215,0.9913120865821838
gak pengaruh pildun tetep jalan,0.9447980523109436,0.03656354546546936,0.018638405948877335
awal terpilihnya qatar saja saya sudah tidak respek waktu itu saya lebih menjagokan australia seiring dengan waktu menjadi terbukti semoga tidak menjadi piala dunia terburuk dalam sejarah,0.1530880630016327,0.833900511264801,0.013011454604566097
ra urus,0.0020668276119977236,0.99530029296875,0.0026329003740102053
keren jersey nya stealth mode,0.996685802936554,0.000991293229162693,0.0023228784557431936
fifa oh fifa,0.3483446538448334,0.010351195931434631,0.6413041949272156
si paling hak asasi manusia wkwkwk orang barat merasa paling ham tapi mereka gak peduli pada ratusan juta orang afrika yang kelaparan mereka maunya hidup senang sendiri gak mau berbagi,0.00033244851510971785,0.9991011619567871,0.0005663626943714917
semoga russia tidak dendam pada uefa dan fifa karena melarang mereka ikut pildun,0.07580657303333282,0.2790783643722534,0.645115077495575
hypocrisy denmark didnt even use their voices against israel during eurovision they even gave israel point this year,0.16786494851112366,0.2861359417438507,0.5459991097450256
terlepas dari statement si apparel gw pribadi suka banget sama design seperti ini,0.9979537725448608,0.001120107714086771,0.0009261724771931767
europa si paling ham,0.33205562829971313,0.04255062714219093,0.6253937482833862
